service_id,date,exception_type
CI3725S_CI302_,20260718,1
CI3725S_CI303_,20260718,1
CI3725S_CI304_,20260718,1
CI3725S_CI305_,20260718,1
CI3725S_CI3E1_,20260718,1
CI4725S_CI401_,20260718,1
CI4725S_CI402_,20260718,1
CI4725S_CI403_,20260718,1
CI4725S_CI404_,20260718,1
CI4725S_CI405_,20260718,1
CI4725S_CI4E1_,20260718,1
MIC023S_MIC01_,20260718,1
MIC023S_MIC02_,20260718,1
MIC023S_MIC03_,20260718,1
N01018S_N01E1_,20260718,1
N02018S_N02E1_,20260718,1
N02018S_N02E2_,20260718,1
N03018S_N03E1_,20260718,1
N03018S_N03E2_,20260718,1
N04018S_N04E1_,20260718,1
N04018S_N04E2_,20260718,1
N05018S_N05E1_,20260718,1
N06018S_N06E1_,20260718,1
N07018S_N07E1_,20260718,1
TUM003S_TUM01_,20260718,1
TUN003S_TUN01_,20260718,1
TUR003S_TURE1_,20260718,1
TUR003S_TURE2_,20260718,1
TUR003S_TURE3_,20260718,1
TUR003S_TURE4_,20260718,1
021724F_02101_,20260719,1
021724F_02102_,20260719,1
021724F_02103_,20260719,1
021724F_02104_,20260719,1
021724F_02105_,20260719,1
021724F_021E1_,20260719,1
021724F_021E2_,20260719,1
022781F_02201_,20260719,1
022781F_02202_,20260719,1
022781F_02203_,20260719,1
022781F_02204_,20260719,1
022781F_022E1_,20260719,1
023724F_02301_,20260719,1
023724F_02302_,20260719,1
023724F_02303_,20260719,1
023724F_02304_,20260719,1
023724F_02305_,20260719,1
023724F_02306_,20260719,1
023724F_023E1_,20260719,1
025718F_02501_,20260719,1
025718F_02502_,20260719,1
025718F_02503_,20260719,1
028002F_02801_,20260719,1
028002F_02802_,20260719,1
028002F_02803_,20260719,1
029725F_02901_,20260719,1
029725F_02902_,20260719,1
029725F_02903_,20260719,1
029725F_029E1_,20260719,1
030725F_03001_,20260719,1
030725F_03002_,20260719,1
030725F_03003_,20260719,1
030725F_030E1_,20260719,1
031724F_03101_,20260719,1
031724F_03102_,20260719,1
031724F_03103_,20260719,1
032725F_03201_,20260719,1
032725F_03202_,20260719,1
032725F_03203_,20260719,1
032725F_03204_,20260719,1
032725F_03205_,20260719,1
032725F_03206_,20260719,1
032725F_032E1_,20260719,1
032725F_032E2_,20260719,1
033725F_03301_,20260719,1
033725F_03302_,20260719,1
033725F_03303_,20260719,1
